id,username,email,hashedPassword,createdAt,updatedAt,firstName,lastName
104,Demo-lition,demo@user.io,$2a$10$VFkaZJ5b3VokOv0O63Li9.RwA46CPkuqq28Y41zUBNExbV4Xp2qOa,"2023-02-03 09:51:47","2023-02-03 09:51:47",Demo,Lition
105,FakeUser1,user1@user.io,$2a$10$4/E7EwYCaTwcmWCk.P3vJ.hO5zixxNehei4KNWXpBBZaFba1V5nrG,"2023-02-03 09:51:47","2023-02-03 09:51:47",Fake,User
106,FakeUser2,user2@user.io,$2a$10$9RSiSKPQgQtcY6eBTMcp6ueniGvFqrKarU0dFu8fjqPkmfj/hnH.W,"2023-02-03 09:51:47","2023-02-03 09:51:47",Fake,User
107,Galilea-Cisneros,galilea.cisneros@mannam.com,$2a$10$2KG3XcBCGF03SR4yu6JL1.Dh6jg.oJ2VL/LndrgREchJT8faHZuva,"2023-02-03 09:51:53","2023-02-03 09:51:53",Galilea,Cisneros
108,Alden-Holland,alden.holland@mannam.com,$2a$10$JinyEjV9Zvqih/jvhZgUbems.F15Jf5nz8itRYyUpYU3ul.a3iWPi,"2023-02-03 09:51:53","2023-02-03 09:51:53",Alden,Holland
109,Mariah-Ingram,mariah.ingram@mannam.com,$2a$10$.4j/QfSenuwLv4vEIkkv4.ruWYPNn2pm6TvUcPcKMqrUpN3sU7ZA2,"2023-02-03 09:51:53","2023-02-03 09:51:53",Mariah,Ingram
110,Tripp-Mathews,tripp.mathews@mannam.com,$2a$10$rveBkAQAq2ERX.p9pmS1Xue6UwkTgMJncP9LiYebdFeXbeacPd4uu,"2023-02-03 09:51:53","2023-02-03 09:51:53",Tripp,Mathews
111,Sloan-Yates,sloan.yates@mannam.com,$2a$10$gKrwhIq27WSQhJkKiP66L.GJbsj0Yf6glnOXWQVb6aBBNeTawHQmW,"2023-02-03 09:51:53","2023-02-03 09:51:53",Sloan,Yates
112,Braylon-Bradford,braylon.bradford@mannam.com,$2a$10$KMu5TbiqRkgdDosgHlZn8uzjIuic/gs90cyoOAtosmQ40BLpXTZ8S,"2023-02-03 09:51:53","2023-02-03 09:51:53",Braylon,Bradford
113,Rhea-Villegas,rhea.villegas@mannam.com,$2a$10$qyizCaV6BAvXbws3KzUMfOgRJIuAiWW51bY6YgjT9d8m6.AJuOBJa,"2023-02-03 09:51:53","2023-02-03 09:51:53",Rhea,Villegas
114,Clyde-Greene,clyde.greene@mannam.com,$2a$10$9UeJ.1JK2HQfaG2Kpf6s/.uDAaNSlFlBg.NgRrEIza9cKvH1cAii.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Clyde,Greene
115,Selena-Sloan,selena.sloan@mannam.com,$2a$10$zM1fy6QGO.FQwZYUed8JVOCmOuivw8Mke3XC2E/1URV.el.n4NupS,"2023-02-03 09:51:53","2023-02-03 09:51:53",Selena,Sloan
